timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_gyro0,attack_gyro1,attack_gyro2,gyro_rad[0],gyro_rad[1],gyro_rad[2]
27997676,27997676,27997676,27997676,27997676,27997676,-0.532634808,-0.532634808,-0.966885527,-0.970405834,-0.963702274,-0.967201748,-0.003520307,0.003183253,-0.000316221
28001660,28001660,28001660,28001660,28001660,28001660,3.35066135,3.35066135,-3.994998211,-3.997163396,-3.991405965,-3.993998672,-0.002165185,0.003592246,0.00099954
28005666,28005666,28005666,28005666,28005666,28005666,3.470734242,3.470734242,-0.406547721,-0.408723684,-0.403806481,-0.404918717,-0.002175963,0.00274124,0.001629004
28009707,28009707,28009707,28009707,28009707,28009707,-0.008997514,-0.008997514,3.930750547,3.926267857,3.93297486,3.930710794,-0.00448269,0.002224313,-3.98E-05
28013710,28013710,28013710,28013710,28013710,28013710,-3.572430961,-3.572430961,1.348801678,1.344682658,1.351460312,1.347938221,-0.00411902,0.002658634,-0.000863458
28017660,28017660,28017660,28017660,28017660,28017660,-3.049119456,-3.049119456,-3.293560006,-3.297312161,-3.29134737,-3.293151452,-0.003752156,0.002212636,0.000408553
28021666,28021666,28021666,28021666,28021666,28021666,0.916763509,0.916763509,-2.741923653,-2.74549354,-2.741101452,-2.739917241,-0.003569886,0.000822201,0.002006412
28025665,28025665,28025665,28025665,28025665,28025665,3.892451939,3.892451939,2.421531594,2.416701376,2.423951641,2.422779436,-0.004830218,0.002420046,0.001247842
28029671,28029671,28029671,28029671,28029671,28029671,2.592551908,2.592551908,3.513355915,3.509955335,3.516651407,3.512510326,-0.00340058,0.003295492,-0.000845589
28033673,28033673,28033673,28033673,28033673,28033673,-1.550726497,-1.550726497,-1.329808681,-1.333013223,-1.328120126,-1.329704686,-0.003204542,0.001688555,0.000103995
28037663,28037663,28037663,28037663,28037663,28037663,-3.994191598,-3.994191598,-3.95123186,-3.955829742,-3.948055912,-3.950713378,-0.004597882,0.003175948,0.000518482
28041707,28041707,28041707,28041707,28041707,28041707,-2.178036188,-2.178036188,0.309877497,0.30454747,0.312926456,0.310481845,-0.005330027,0.003048959,0.000604348
28045666,28045666,28045666,28045666,28045666,28045666,2.202473126,2.202473126,3.945906681,3.942609244,3.947598383,3.945590351,-0.003297437,0.001691702,-0.000316331
