timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_acc0,attack_acc1,attack_acc2,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
27869626,27869626,27869626,27869626,27869626,27869626,40.47210284,40.47210284,-76.53403771,-76.05136225,-76.60748245,-86.49397471,0.48267546,-0.07344474,-9.959937
27873710,27873710,27873710,27873710,27873710,27873710,-51.26453662,-51.26453662,-79.4717453,-79.0071827,-79.56614545,-89.4153373,0.4645626,-0.09440015,-9.943592
27877668,27877668,27877668,27877668,27877668,27877668,59.15018581,59.15018581,-53.14583088,-52.68259011,-53.22325505,-63.05563688,0.46324077,-0.07742417,-9.909806
27881622,27881622,27881622,27881622,27881622,27881622,58.91271128,58.91271128,21.80713922,22.24615747,21.73037092,11.90830522,0.43901825,-0.076768294,-9.898834
27885672,27885672,27885672,27885672,27885672,27885672,-78.60549585,-78.60549585,18.64630179,19.12599586,18.60645538,8.740611795,0.47969407,-0.039846417,-9.90569
27889662,27889662,27889662,27889662,27889662,27889662,39.18176377,39.18176377,59.92237852,60.40209302,59.86854141,50.00371152,0.4797145,-0.05383711,-9.918667
27893666,27893666,27893666,27893666,27893666,27893666,43.38265385,43.38265385,77.20688133,77.6831394,77.11786417,67.25460633,0.47625807,-0.08901716,-9.952275
27897662,27897662,27897662,27897662,27897662,27897662,-78.71718635,-78.71718635,76.85985375,77.32891772,76.80751595,66.92117775,0.46906397,-0.052337795,-9.938676
27901714,27901714,27901714,27901714,27901714,27901714,60.54427442,60.54427442,78.09738952,78.60532647,78.03680064,68.15906952,0.50793695,-0.060588885,-9.93832
27905662,27905662,27905662,27905662,27905662,27905662,61.17068219,61.17068219,22.44475967,22.9340092,22.41083755,12.52420467,0.48924953,-0.033922125,-9.920555
27909663,27909663,27909663,27909663,27909663,27909663,-73.07477448,-73.07477448,-16.47392755,-15.99898155,-16.52852367,-26.41433455,0.474946,-0.054596122,-9.940407
27913663,27913663,27913663,27913663,27913663,27913663,1.653616594,1.653616594,-52.15050986,-51.67818816,-52.2529206,-62.08593586,0.4723217,-0.10241074,-9.935426
27917663,27917663,27917663,27917663,27917663,27917663,71.66662308,71.66662308,-74.92575277,-74.43268708,-74.99584894,-84.90300277,0.49306569,-0.07009617,-9.97725
27921663,27921663,27921663,27921663,27921663,27921663,-62.6819446,-62.6819446,-79.16536546,-78.68090028,-79.24671778,-89.08362646,0.48446518,-0.08135232,-9.918261
27925663,27925663,27925663,27925663,27925663,27925663,-18.28927515,-18.28927515,-63.82052438,-63.33931412,-63.89827645,-73.76098238,0.48121026,-0.07775207,-9.940458
27929707,27929707,27929707,27929707,27929707,27929707,60.40277429,60.40277429,-62.62568509,-62.16433301,-62.69117207,-72.56062909,0.46135208,-0.06548698,-9.934944
27933666,27933666,27933666,27933666,27933666,27933666,-50.51991694,-50.51991694,3.929179311,4.387593541,3.858011101,-5.981925689,0.45841423,-0.07116821,-9.911105
27937667,27937667,27937667,27937667,27937667,27937667,-33.78465625,-33.78465625,41.19394971,41.67548899,41.13355182,31.23720671,0.48153928,-0.06039789,-9.956743
27941664,27941664,27941664,27941664,27941664,27941664,79.96239675,79.96239675,70.41222328,70.90754086,70.33684197,60.48998828,0.49531758,-0.07538131,-9.922235
27945660,27945660,27945660,27945660,27945660,27945660,-28.41899881,-28.41899881,79.89384233,80.3683522,79.83151439,69.99429283,0.47450987,-0.06232794,-9.8995495
27949671,27949671,27949671,27949671,27949671,27949671,-47.86059783,-47.86059783,72.56281567,73.05062345,72.489098,62.67022767,0.48780778,-0.073717676,-9.892588
27953660,27953660,27953660,27953660,27953660,27953660,75.73553981,75.73553981,39.33067581,39.80061457,39.24630112,29.42026181,0.46993876,-0.08437469,-9.910414
27957710,27957710,27957710,27957710,27957710,27957710,-50.72231529,-50.72231529,42.14222263,42.63654249,42.05294563,32.23599763,0.49431986,-0.089277,-9.906225
27961680,27961680,27961680,27961680,27961680,27961680,-56.78139839,-56.78139839,-21.64265894,-21.17301824,-21.73071836,-31.58243594,0.4696407,-0.08805942,-9.939777
27965663,27965663,27965663,27965663,27965663,27965663,68.41785476,68.41785476,-65.59904597,-65.14031887,-65.70589009,-75.52383597,0.4587271,-0.10684412,-9.92479
27969660,27969660,27969660,27969660,27969660,27969660,11.12278657,11.12278657,-79.78022171,-79.29942461,-79.87387651,-89.70344971,0.4807971,-0.093654804,-9.923228
27973668,27973668,27973668,27973668,27973668,27973668,-73.92189881,-73.92189881,-75.37882433,-74.89061513,-75.46051848,-85.31291433,0.4882092,-0.081694156,-9.93409
27977664,27977664,27977664,27977664,27977664,27977664,56.61117809,56.61117809,-50.49652854,-50.00127882,-50.5656871,-60.39948654,0.49524972,-0.06915856,-9.902958
27981663,27981663,27981663,27981663,27981663,27981663,27.90617836,27.90617836,-13.50172116,-13.03189664,-13.55993129,-23.44442116,0.46982452,-0.058210123,-9.9427
27985711,27985711,27985711,27985711,27985711,27985711,-64.38586907,-64.38586907,-15.00531745,-14.51625568,-15.07754686,-24.95367345,0.48906177,-0.07222941,-9.948356
27989680,27989680,27989680,27989680,27989680,27989680,52.67834564,52.67834564,48.47462914,48.94750694,48.40861817,38.59664914,0.4728778,-0.06601097,-9.87798
27993664,27993664,27993664,27993664,27993664,27993664,44.91676913,44.91676913,77.64415182,78.14063282,77.56846184,67.75411282,0.496481,-0.07568998,-9.890039
27997676,27997676,27997676,27997676,27997676,27997676,-79.98653603,-79.98653603,79.33599287,79.78554607,79.27139765,69.41270487,0.4495532,-0.064595215,-9.923288
28001660,28001660,28001660,28001660,28001660,28001660,18.82222577,18.82222577,55.41980731,55.89370477,55.3336316,45.48681031,0.47389746,-0.08617571,-9.932997
28005666,28005666,28005666,28005666,28005666,28005666,58.73556364,58.73556364,25.76116378,26.23971948,25.71048358,15.85464378,0.4785557,-0.0506802,-9.90652
28009707,28009707,28009707,28009707,28009707,28009707,-79.69902212,-79.69902212,21.40544028,21.87439273,21.37737231,11.45434528,0.46895245,-0.028067965,-9.951095
28013710,28013710,28013710,28013710,28013710,28013710,42.56864609,42.56864609,-15.82901149,-15.35966875,-15.88315511,-25.76684949,0.46934274,-0.054143626,-9.937838
28017660,28017660,28017660,28017660,28017660,28017660,72.85007773,72.85007773,-75.80006934,-75.3315777,-75.8587977,-85.73115834,0.46849164,-0.05872836,-9.931089
28021666,28021666,28021666,28021666,28021666,28021666,-64.35900881,-64.35900881,-79.49906501,-79.00138771,-79.55099414,-89.40624601,0.4976773,-0.05192913,-9.907181
28025665,28025665,28025665,28025665,28025665,28025665,-16.49360231,-16.49360231,-64.85405456,-64.36599856,-64.95078357,-74.75595056,0.488056,-0.09672901,-9.901896
28029671,28029671,28029671,28029671,28029671,28029671,76.39960785,76.39960785,-38.90536641,-38.42925378,-38.97816094,-48.79334591,0.47611263,-0.072794534,-9.8879795
28033673,28033673,28033673,28033673,28033673,28033673,-55.3436331,-55.3436331,-2.156128081,-1.681474681,-2.202324538,-12.04208108,0.4746534,-0.046196457,-9.885953
28037663,28037663,28037663,28037663,28037663,28037663,-37.08298446,-37.08298446,44.1358621,44.63626384,44.0902809,34.2404851,0.50040174,-0.045581196,-9.895377
28041707,28041707,28041707,28041707,28041707,28041707,71.55008554,71.55008554,45.7492223,46.23003154,45.66729188,35.8232233,0.48080924,-0.08193042,-9.925999
28045666,28045666,28045666,28045666,28045666,28045666,-33.50647288,-33.50647288,79.99249543,80.46412173,79.90566664,70.07046743,0.4716263,-0.08682879,-9.922028
28049669,28049669,28049669,28049669,28049669,28049669,-49.32198542,-49.32198542,71.81343422,72.29070998,71.77009132,61.91552222,0.47727576,-0.043342896,-9.897912
28053666,28053666,28053666,28053666,28053666,28053666,77.33187154,77.33187154,43.78729752,44.25203675,43.71158973,33.89912452,0.46473923,-0.07570779,-9.888173
28057660,28057660,28057660,28057660,28057660,28057660,-8.928614985,-8.928614985,0.904759395,1.382870635,0.824843955,-9.007555605,0.47811124,-0.07991544,-9.912315
28061663,28061663,28061663,28061663,28061663,28061663,-66.6457506,-66.6457506,-35.42516542,-34.93657977,-35.49902242,-45.35247342,0.48858565,-0.073856995,-9.927308
28065663,28065663,28065663,28065663,28065663,28065663,68.41785476,68.41785476,-65.59904598,-65.11902858,-65.685083,-75.53170398,0.4800174,-0.08603702,-9.932658
28069714,28069714,28069714,28069714,28069714,28069714,-37.04289334,-37.04289334,-63.14456287,-62.6822986,-63.19897757,-73.04042387,0.46226427,-0.0544147,-9.895861
28074464,28074464,28074464,28074464,28074464,28074464,79.42340202,79.42340202,35.29440747,35.75345345,35.25011946,25.36012747,0.45904598,-0.044288013,-9.93428
28078469,28078469,28078469,28078469,28078469,28078469,-46.31654068,-46.31654068,0.688628606,1.160849686,0.643692351,-9.234392394,0.47222108,-0.044936255,-9.923021
28082460,28082460,28082460,28082460,28082460,28082460,-46.28784715,-46.28784715,-44.63351473,-44.15921005,-44.69170202,-54.54004473,0.47430468,-0.05818729,-9.90653
28086460,28086460,28086460,28086460,28086460,28086460,78.74748934,78.74748934,-71.0970618,-70.63946097,-71.17970037,-81.0326988,0.45760083,-0.08263857,-9.935637
28090464,28090464,28090464,28090464,28090464,28090464,-24.30029703,-24.30029703,-79.9883172,-79.51151712,-80.04332445,-89.8854332,0.47680008,-0.055007253,-9.897116
28094460,28094460,28094460,28094460,28094460,28094460,-61.06040187,-61.06040187,-69.06318909,-68.59826629,-69.12269608,-79.00738709,0.4649228,-0.059506983,-9.944198
28098460,28098460,28098460,28098460,28098460,28098460,72.7667626,72.7667626,-41.06892225,-40.62515917,-41.11941725,-50.96901525,0.44376308,-0.050495002,-9.900093
28102460,28102460,28102460,28102460,28102460,28102460,-0.904759396,-0.904759396,-2.914752727,-2.455756847,-2.983011667,-12.81214273,0.45899588,-0.06825894,-9.89739
28106460,28106460,28106460,28106460,28106460,28106460,-71.99630697,-71.99630697,35.96048768,36.42919554,35.88592731,26.04279968,0.46870786,-0.074560374,-9.917688
28110462,28110462,28110462,28110462,28110462,28110462,63.35385388,63.35385388,64.93929447,65.42902134,64.87157832,55.05024947,0.48972687,-0.06771615,-9.889045
28114468,28114468,28114468,28114468,28114468,28114468,11.79934323,11.79934323,78.61668672,79.07991602,78.55807813,68.74970372,0.4632293,-0.058608588,-9.866983
28118461,28118461,28118461,28118461,28118461,28118461,-78.22066815,-78.22066815,73.91613202,74.38139235,73.85994875,64.04205302,0.46526033,-0.056183264,-9.874079
28122460,28122460,28122460,28122460,28122460,28122460,47.75177859,47.75177859,49.34968371,49.82187203,49.28846964,39.44421071,0.47218832,-0.061214063,-9.905473
28126460,28126460,28126460,28126460,28126460,28126460,37.74498241,37.74498241,12.91177048,13.38852631,12.84674239,2.975501481,0.47675583,-0.065028094,-9.936269
28130480,28130480,28130480,28130480,28130480,28130480,-78.72970756,-78.72970756,-9.827150734,-9.341405874,-9.917555028,-19.71613073,0.48574486,-0.090404294,-9.88898
28134460,28134460,28134460,28134460,28134460,28134460,30.28930477,30.28930477,-59.74219931,-59.24637643,-59.84343072,-69.60839531,0.49582288,-0.10123141,-9.866196
28138460,28138460,28138460,28138460,28138460,28138460,54.10072488,54.10072488,-77.98463442,-77.49267362,-78.06080171,-87.87040042,0.4919608,-0.07616729,-9.885766
28142460,28142460,28142460,28142460,28142460,28142460,-76.3592414,-76.3592414,-76.93471285,-76.44340681,-77.03798687,-86.86584985,0.49130604,-0.10327402,-9.931137
28146460,28146460,28146460,28146460,28146460,28146460,10.92364253,10.92364253,-56.85217117,-56.32809763,-56.9419368,-66.75763217,0.52407354,-0.08976563,-9.905461
28150498,28150498,28150498,28150498,28150498,28150498,42.29592761,42.29592761,-51.58796808,-51.07671398,-51.63798964,-61.50527608,0.5112541,-0.050021563,-9.917308
28154460,28154460,28154460,28154460,28154460,28154460,-68.02670849,-68.02670849,17.05880108,17.56088164,17.01051837,7.087364583,0.50208056,-0.048282716,-9.9714365
28158460,28158460,28158460,28158460,28158460,28158460,-9.12839234,-9.12839234,52.60264458,53.07771586,52.55563819,42.68062358,0.47507128,-0.047006395,-9.922021
28162460,28162460,28162460,28162460,28162460,28162460,75.80006934,75.80006934,75.13329659,75.61968339,75.06911912,65.22296559,0.4863868,-0.06417747,-9.910331
28166460,28166460,28166460,28166460,28166460,28166460,-55.41980731,-55.41980731,79.07697481,79.57770336,79.0080529,69.14469781,0.50072855,-0.06892191,-9.932277
28170464,28170464,28170464,28170464,28170464,28170464,-25.14166628,-25.14166628,65.51550126,65.97086263,65.45226532,55.59285326,0.45536137,-0.06323594,-9.922648
28174466,28174466,28174466,28174466,28174466,28174466,79.18193915,79.18193915,36.84672201,37.28994451,36.78096453,26.94437201,0.4432225,-0.06575748,-9.90235
28178468,28178468,28178468,28178468,28178468,28178468,-45.56348143,-45.56348143,-0.180955581,0.265038259,-0.237410679,-10.06815458,0.44599384,-0.056455098,-9.887199
28182460,28182460,28182460,28182460,28182460,28182460,-46.28784714,-46.28784714,-44.63351473,-44.17916736,-44.71549855,-54.55064473,0.45434737,-0.08198382,-9.91713
28186460,28186460,28186460,28186460,28186460,28186460,78.74748934,78.74748934,-71.0970618,-70.62569918,-71.17121268,-81.0492158,0.47136262,-0.07415088,-9.952154
