timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_acc0,attack_acc1,attack_acc2,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
28001660,28001660,28001660,28001660,28001660,28001660,18.82222577,18.82222577,-28.63832955,-7.959816808,-28.16443209,-38.57132655,0.47389746,-0.08617571,-9.932997
28005666,28005666,28005666,28005666,28005666,28005666,58.73556364,58.73556364,20.0306858,-26.62578188,20.5092415,10.1241658,0.4785557,-0.0506802,-9.90652
28009707,28009707,28009707,28009707,28009707,28009707,-79.69902212,-79.69902212,-2.560052336,3.339507259,-2.091099886,-12.51114734,0.46895245,-0.028067965,-9.951095
28013710,28013710,28013710,28013710,28013710,28013710,42.56864609,42.56864609,-25.04305472,29.13197732,-24.57371198,-34.98089272,0.46934274,-0.054143626,-9.937838
28017660,28017660,28017660,28017660,28017660,28017660,72.85007773,72.85007773,12.23783754,-25.13528973,12.70632918,2.306748544,0.46849164,-0.05872836,-9.931089
28021666,28021666,28021666,28021666,28021666,28021666,-64.35900881,-64.35900881,17.61260122,-11.34364066,18.11027852,7.705420216,0.4976773,-0.05192913,-9.907181
28025665,28025665,28025665,28025665,28025665,28025665,-16.49360231,-16.49360231,-29.05185659,29.52443679,-28.56380059,-38.95375259,0.488056,-0.09672901,-9.901896
28029671,28029671,28029671,28029671,28029671,28029671,76.39960785,76.39960785,8.817698713,3.279258157,9.293811343,-1.070280787,0.47611263,-0.072794534,-9.8879795
28033673,28033673,28033673,28033673,28033673,28033673,-55.3436331,-55.3436331,21.49271442,-29.21730202,21.96736782,11.60676142,0.4746534,-0.046196457,-9.885953
28037663,28037663,28037663,28037663,28037663,28037663,-37.08298446,-37.08298446,-26.40659004,11.54247427,-25.9061883,-36.30196704,0.50040174,-0.045581196,-9.895377
28041707,28041707,28041707,28041707,28041707,28041707,71.55008554,71.55008554,13.34763528,30.30245712,13.82844452,3.421636279,0.48080924,-0.08193042,-9.925999
28045666,28045666,28045666,28045666,28045666,28045666,-33.50647288,-33.50647288,27.12962072,-19.23237672,27.60124702,17.20759272,0.4716263,-0.08682879,-9.922028
28049669,28049669,28049669,28049669,28049669,28049669,-49.32198542,-49.32198542,-23.55207804,-18.75932553,-23.07480228,-33.44999004,0.47727576,-0.043342896,-9.897912
28053666,28053666,28053666,28053666,28053666,28053666,77.33187154,77.33187154,-7.670643775,27.11865757,-7.205904545,-17.55881678,0.46473923,-0.07570779,-9.888173
28057660,28057660,28057660,28057660,28057660,28057660,-8.928614985,-8.928614985,29.80078654,6.798977989,30.27889778,19.88847154,0.47811124,-0.07991544,-9.912315
28061663,28061663,28061663,28061663,28061663,28061663,-66.6457506,-66.6457506,-16.60901858,-29.48236987,-16.12043293,-26.53632658,0.48858565,-0.073856995,-9.927308
28065663,28065663,28065663,28065663,28065663,28065663,68.41785476,68.41785476,-15.58029935,4.324696217,-15.10028195,-25.51295735,0.4800174,-0.08603702,-9.932658
28069714,28069714,28069714,28069714,28069714,28069714,-37.04289334,-37.04289334,26.67921599,29.20299468,27.14148026,16.78335499,0.46226427,-0.0544147,-9.895861
28074464,28074464,28074464,28074464,28074464,28074464,79.42340202,79.42340202,3.612712695,6.938752897,4.071758675,-6.321567305,0.45904598,-0.044288013,-9.93428
28078469,28078469,28078469,28078469,28078469,28078469,-46.31654068,-46.31654068,24.60912692,28.88077057,25.081348,14.68610592,0.47222108,-0.044936255,-9.923021
28082460,28082460,28082460,28082460,28082460,28082460,-46.28784715,-46.28784715,-24.64711262,-17.62429088,-24.17280794,-34.55364262,0.47430468,-0.05818729,-9.90653
28086460,28086460,28086460,28086460,28086460,28086460,78.74748934,78.74748934,-5.332991436,-19.94745659,-4.875390606,-15.26862844,0.45760083,-0.08263857,-9.935637
28090464,28090464,28090464,28090464,28090464,28090464,-24.30029703,-24.30029703,28.86226625,25.47629946,29.33906633,18.96515025,0.47680008,-0.055007253,-9.897116
28094460,28094460,28094460,28094460,28094460,28094460,-61.06040187,-61.06040187,-19.5966484,11.23955952,-19.1317256,-29.5408464,0.4649228,-0.059506983,-9.944198
28098460,28098460,28098460,28098460,28098460,28098460,72.7667626,72.7667626,-12.61848094,-29.46214734,-12.17471786,-22.51857394,0.44376308,-0.050495002,-9.900093
28102460,28102460,28102460,28102460,28102460,28102460,-0.904759396,-0.904759396,30.40325937,0.879273864,30.86225525,20.50586937,0.45899588,-0.06825894,-9.89739
28106460,28106460,28106460,28106460,28106460,28106460,-71.99630697,-71.99630697,-13.27243351,30.29017886,-12.80372565,-23.19012151,0.46870786,-0.074560374,-9.917688
28110462,28110462,28110462,28110462,28110462,28110462,63.35385388,63.35385388,-18.61147394,-10.43437566,-18.12174707,-28.50051894,0.48972687,-0.06771615,-9.889045
28114468,28114468,28114468,28114468,28114468,28114468,11.79934323,11.79934323,30.18307416,-26.57259725,30.64630346,20.31609116,0.4632293,-0.058608588,-9.866983
28118461,28118461,28118461,28118461,28118461,28118461,-78.22066815,-78.22066815,-6.408216714,21.41862027,-5.942956384,-16.28229571,0.46526033,-0.056183264,-9.874079
28122460,28122460,28122460,28122460,28122460,28122460,47.75177859,47.75177859,-24.54376651,18.10936662,-24.07157819,-34.44923951,0.47218832,-0.061214063,-9.905473
28126460,28126460,28126460,28126460,28126460,28126460,37.74498241,37.74498241,27.00488438,-27.41410982,27.48164021,17.06861538,0.47675583,-0.065028094,-9.936269
28130480,28130480,28130480,28130480,28130480,28130480,-78.72970756,-78.72970756,-5.443045244,-13.67593607,-4.957300384,-15.33202524,0.48574486,-0.090404294,-9.88898
28134460,28134460,28134460,28134460,28134460,28134460,30.28930477,30.28930477,-28.41682792,31.16147458,-27.92100504,-38.28302392,0.49582288,-0.10123141,-9.866196
28138460,28138460,28138460,28138460,28138460,28138460,54.10072488,54.10072488,22.64478652,-3.781920611,23.13674732,12.75902052,0.4919608,-0.07616729,-9.885766
28142460,28142460,28142460,28142460,28142460,28142460,-76.3592414,-76.3592414,9.17890181,-28.64488189,9.67020785,-0.75223519,0.49130604,-0.10327402,-9.931137
28146460,28146460,28146460,28146460,28146460,28146460,10.92364253,10.92364253,-30.5252712,15.740598,-30.00119766,-40.4307322,0.52407354,-0.08976563,-9.905461
28150498,28150498,28150498,28150498,28150498,28150498,42.29592761,42.29592761,26.18690386,30.44753038,26.69815796,16.26959586,0.5112541,-0.050021563,-9.917308
