timestamp,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,attack_acc0,attack_acc1,attack_acc2,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
27997676,27997676,27997676,27997676,27997676,27997676,-79.98653603,-79.98653603,-79.65993345,-79.21038025,-79.72452867,-89.58322145,0.4495532,-0.064595215,-9.923288
28001660,28001660,28001660,28001660,28001660,28001660,18.82222577,18.82222577,22.89788409,23.37178155,22.81170838,12.96488709,0.47389746,-0.08617571,-9.932997
28005666,28005666,28005666,28005666,28005666,28005666,58.73556364,58.73556364,73.49601946,73.97457516,73.44533926,63.58949946,0.4785557,-0.0506802,-9.90652
28009707,28009707,28009707,28009707,28009707,28009707,-79.69902212,-79.69902212,-7.77383677,-7.30488432,-7.801904735,-17.72493177,0.46895245,-0.028067965,-9.951095
28013710,28013710,28013710,28013710,28013710,28013710,42.56864609,42.56864609,-77.52401676,-77.05467402,-77.57816039,-87.46185476,0.46934274,-0.054143626,-9.937838
28017660,28017660,28017660,28017660,28017660,28017660,72.85007773,72.85007773,69.16444852,69.63294016,69.10572016,59.23335952,0.46849164,-0.05872836,-9.931089
28021666,28021666,28021666,28021666,28021666,28021666,-64.35900881,-64.35900881,31.94703976,32.44471706,31.89511063,22.03985876,0.4976773,-0.05192913,-9.907181
28025665,28025665,28025665,28025665,28025665,28025665,-16.49360231,-16.49360231,-78.23959446,-77.75153846,-78.33632347,-88.14149046,0.488056,-0.09672901,-9.901896
28029671,28029671,28029671,28029671,28029671,28029671,76.39960785,76.39960785,-7.543677653,-7.067565023,-7.616472187,-17.43165715,0.47611263,-0.072794534,-9.8879795
28033673,28033673,28033673,28033673,28033673,28033673,-55.3436331,-55.3436331,79.80516298,80.27981638,79.75896652,69.91920998,0.4746534,-0.046196457,-9.885953
28037663,28037663,28037663,28037663,28037663,28037663,-37.08298446,-37.08298446,-29.64148251,-29.14108077,-29.6870637,-39.53685951,0.50040174,-0.045581196,-9.895377
28041707,28041707,28041707,28041707,28041707,28041707,71.55008554,71.55008554,-79.95240938,-79.47160014,-80.0343398,-89.87840838,0.48080924,-0.08193042,-9.925999
28045666,28045666,28045666,28045666,28045666,28045666,-33.50647288,-33.50647288,52.76152073,53.23314703,52.67469194,42.83949273,0.4716263,-0.08682879,-9.922028
28049669,28049669,28049669,28049669,28049669,28049669,-49.32198542,-49.32198542,51.44568077,51.92295653,51.40233787,41.54776877,0.47727576,-0.043342896,-9.897912
28053666,28053666,28053666,28053666,28053666,28053666,77.33187154,77.33187154,-71.19360265,-70.72886342,-71.26931044,-81.08177565,0.46473923,-0.07570779,-9.888173
28057660,28057660,28057660,28057660,28057660,28057660,-8.928614985,-8.928614985,-16.86230972,-16.38419848,-16.94222516,-26.77462472,0.47811124,-0.07991544,-9.912315
28061663,28061663,28061663,28061663,28061663,28061663,-66.6457506,-66.6457506,79.85481373,80.34339938,79.78095674,69.92750573,0.48858565,-0.073856995,-9.927308
28065663,28065663,28065663,28065663,28065663,28065663,68.41785476,68.41785476,-10.2310886,-9.751071199,-10.31712562,-20.1637466,0.4800174,-0.08603702,-9.932658
28069714,28069714,28069714,28069714,28069714,28069714,-37.04289334,-37.04289334,-76.38617679,-75.92391252,-76.44059149,-86.28203779,0.46226427,-0.0544147,-9.895861
28074464,28074464,28074464,28074464,28074464,28074464,79.42340202,79.42340202,-17.196281,-16.73723502,-17.24056901,-27.130561,0.45904598,-0.044288013,-9.93428
28078469,28078469,28078469,28078469,28078469,28078469,-46.31654068,-46.31654068,-75.29936417,-74.82714309,-75.34430043,-85.22238517,0.47222108,-0.044936255,-9.923021
28082460,28082460,28082460,28082460,28082460,28082460,-46.28784715,-46.28784715,47.91294316,48.38724784,47.85475587,38.00641316,0.47430468,-0.05818729,-9.90653
28086460,28086460,28086460,28086460,28086460,28086460,78.74748934,78.74748934,53.9524391,54.41003993,53.86980053,44.0168021,0.45760083,-0.08263857,-9.935637
28090464,28090464,28090464,28090464,28090464,28090464,-24.30029703,-24.30029703,-66.0191754,-65.54237532,-66.07418266,-75.9162914,0.47680008,-0.055007253,-9.897116
28094460,28094460,28094460,28094460,28094460,28094460,-61.06040187,-61.06040187,-28.41899882,-27.95407602,-28.4785058,-38.36319682,0.4649228,-0.059506983,-9.944198
28098460,28098460,28098460,28098460,28098460,28098460,72.7667626,72.7667626,78.7826798,79.22644288,78.7321848,68.8825868,0.44376308,-0.050495002,-9.900093
28102460,28102460,28102460,28102460,28102460,28102460,-0.904759396,-0.904759396,-1.1058054,-0.64680952,-1.17406434,-11.0031954,0.45899588,-0.06825894,-9.89739
28106460,28106460,28106460,28106460,28106460,28106460,-71.99630697,-71.99630697,-78.36826527,-77.89955741,-78.44282564,-88.28595327,0.46870786,-0.074560374,-9.917688
28110462,28110462,28110462,28110462,28110462,28110462,63.35385388,63.35385388,28.6725644,29.16229127,28.60484825,18.7835194,0.48972687,-0.06771615,-9.889045
28114468,28114468,28114468,28114468,28114468,28114468,11.79934323,11.79934323,70.87453887,71.33776817,70.81593028,61.00755587,0.4632293,-0.058608588,-9.866983
28118461,28118461,28118461,28118461,28118461,28118461,-78.22066815,-78.22066815,-54.86262291,-54.39736258,-54.91880618,-64.73670191,0.46526033,-0.056183264,-9.874079
28122460,28122460,28122460,28122460,28122460,28122460,47.75177859,47.75177859,-46.12371244,-45.65152412,-46.1849265,-56.02918544,0.47218832,-0.061214063,-9.905473
28126460,28126460,28126460,28126460,28126460,28126460,37.74498241,37.74498241,72.85007773,73.32683356,72.78504964,62.91380873,0.47675583,-0.065028094,-9.936269
28130480,28130480,28130480,28130480,28130480,28130480,-78.72970756,-78.72970756,36.94484297,37.43058783,36.85443868,27.05586297,0.48574486,-0.090404294,-9.88898
28134460,28134460,28134460,28134460,28134460,28134460,30.28930477,30.28930477,-79.90394455,-79.40812167,-80.00517596,-89.77014055,0.49582288,-0.10123141,-9.866196
28138460,28138460,28138460,28138460,28138460,28138460,54.10072488,54.10072488,11.12278657,11.61474737,11.04661928,1.237020572,0.4919608,-0.07616729,-9.885766
28142460,28142460,28142460,28142460,28142460,28142460,-76.3592414,-76.3592414,75.73553981,76.22684585,75.63226579,65.80440281,0.49130604,-0.10327402,-9.931137
28146460,28146460,28146460,28146460,28146460,28146460,10.92364253,10.92364253,-39.50563659,-38.98156305,-39.59540222,-49.41109759,0.52407354,-0.08976563,-9.905461
28150498,28150498,28150498,28150498,28150498,28150498,42.29592761,42.29592761,-77.6271698,-77.1159157,-77.67719137,-87.5444778,0.5112541,-0.050021563,-9.917308
28154460,28154460,28154460,28154460,28154460,28154460,-68.02670849,-68.02670849,62.34003736,62.84211792,62.29175464,52.36860086,0.50208056,-0.048282716,-9.9714365
28158460,28158460,28158460,28158460,28158460,28158460,-9.12839234,-9.12839234,37.56758728,38.04265856,37.52058088,27.64556628,0.47507128,-0.047006395,-9.922021
28162460,28162460,28162460,28162460,28162460,28162460,75.80006934,75.80006934,-76.41896513,-75.93257833,-76.4831426,-86.32929613,0.4863868,-0.06417747,-9.910331
